iter	Logloss
0	0.6250331505
1	0.5681440978
2	0.517019729
3	0.4766590089
4	0.4418615685
5	0.4150900964
6	0.3922682117
7	0.3691430252
8	0.3512946402
9	0.333625133
10	0.3195992356
11	0.3063491457
12	0.2963069413
13	0.2861570456
14	0.2755549951
15	0.2685454322
16	0.2608276163
17	0.2542863058
18	0.2492246445
19	0.2448526329
20	0.2397432859
21	0.2349724881
22	0.2307101907
23	0.2275821712
24	0.2241800195
25	0.2212438827
26	0.2182375785
27	0.215731211
28	0.2132544326
29	0.2113850996
30	0.2093691183
31	0.2076434831
32	0.2055892723
33	0.2040019875
34	0.2026098916
35	0.2006000529
36	0.1993532795
37	0.197845714
38	0.1962657383
39	0.1951031509
40	0.1935773371
41	0.1923385681
42	0.1913242012
43	0.1899546262
44	0.1888180561
45	0.1875198233
46	0.1862229618
47	0.1854799227
48	0.1847564243
49	0.184002209
50	0.1831481252
51	0.1819876045
52	0.1812109651
53	0.180487759
54	0.1793077976
55	0.1784120318
56	0.1775465041
57	0.1766927186
58	0.1759872085
59	0.1755316445
60	0.1747669409
61	0.1743066134
62	0.1735363379
63	0.1727000936
64	0.1722576974
65	0.1713625026
66	0.1707192227
67	0.1701487565
68	0.169492511
69	0.1690879359
70	0.1684688042
71	0.1680893166
72	0.1677495966
73	0.1672545844
74	0.1666795179
75	0.1663737216
76	0.1658084503
77	0.1652914998
78	0.1646280161
79	0.1641789189
80	0.1636364284
81	0.1632464536
82	0.1627514719
83	0.1623374231
84	0.1619992576
85	0.1615484785
86	0.1611442474
87	0.1606856577
88	0.1602123995
89	0.1598113564
90	0.1593692679
91	0.1588063904
92	0.1584343756
93	0.1580372637
94	0.1575681013
95	0.1573418809
96	0.1567113219
97	0.1564131373
98	0.1561959658
99	0.1559137728
100	0.1554926211
101	0.1553130361
102	0.1548743317
103	0.1544323298
104	0.1540540432
105	0.1536536089
106	0.1532875687
107	0.1529471643
108	0.1525724953
109	0.1521897468
110	0.1518869208
111	0.1515073455
112	0.1511700474
113	0.150621499
114	0.1502066306
115	0.1496043259
