iter	Passed	Remaining
0	32	32910
1	54	27397
2	78	26248
3	101	25326
4	124	24843
5	148	24636
6	173	24650
7	198	24608
8	223	24611
9	244	24221
10	269	24212
11	290	23880
12	311	23613
13	334	23561
14	358	23533
15	381	23475
16	406	23481
17	424	23132
18	444	22971
19	466	22838
20	485	22624
21	505	22478
22	525	22306
23	549	22353
24	574	22400
25	592	22206
26	616	22199
27	637	22125
28	657	22011
29	676	21873
30	694	21723
31	716	21662
32	736	21572
33	757	21527
34	781	21559
35	800	21446
36	821	21390
37	846	21428
38	869	21425
39	890	21365
40	916	21427
41	940	21444
42	964	21464
43	992	21573
44	1018	21619
45	1050	21781
46	1080	21899
47	1103	21893
48	1132	21983
49	1154	21927
50	1179	21945
51	1209	22052
52	1250	22347
53	1284	22499
54	1316	22619
55	1341	22612
56	1370	22671
57	1409	22891
58	1440	22972
59	1468	23000
60	1500	23092
61	1535	23228
62	1565	23276
63	1593	23308
64	1621	23325
65	1650	23363
66	1680	23402
67	1711	23451
68	1741	23496
69	1768	23501
70	1793	23462
71	1817	23422
72	1843	23408
73	1875	23470
74	1908	23541
75	1936	23546
76	1963	23535
77	1988	23504
78	2019	23544
79	2048	23557
80	2079	23597
81	2104	23562
82	2130	23534
83	2160	23554
84	2190	23578
85	2216	23554
86	2242	23533
87	2335	24207
88	2400	24566
89	2425	24521
90	2454	24519
91	2502	24694
92	2528	24658
93	2555	24628
94	2583	24614
95	2615	24630
96	2651	24679
97	2680	24675
98	2710	24667
99	2740	24665
100	2773	24687
101	2802	24676
102	2833	24679
103	2887	24873
104	2929	24970
105	2957	24943
106	2989	24951
107	3025	24989
108	3063	25042
109	3102	25102
110	3134	25105
111	3164	25086
112	3197	25095
113	3229	25096
114	3260	25093
115	3289	25067
116	3318	25047
117	3348	25028
118	3379	25022
119	3409	25000
120	3437	24973
121	3462	24917
122	3499	24950
123	3535	24976
124	3567	24971
125	3597	24953
126	3631	24964
127	3678	25056
128	3721	25130
129	3766	25204
130	3805	25245
131	3845	25286
132	3897	25405
133	3927	25382
134	4006	25671
135	4098	26036
136	4157	26190
137	4194	26202
138	4265	26422
139	4338	26652
140	4401	26811
141	4484	27099
142	4541	27218
143	4606	27380
144	4656	27457
145	4713	27568
146	4757	27608
147	4796	27612
148	4829	27581
149	4874	27619
150	4913	27626
151	4948	27606
152	4986	27606
153	5027	27618
154	5051	27536
155	5083	27504
156	5113	27455
157	5150	27448
158	5178	27390
159	5212	27363
160	5262	27423
161	5320	27520
162	5362	27534
163	5406	27558
164	5438	27520
165	5469	27480
166	5511	27492
167	5546	27467
168	5575	27416
169	5617	27427
170	5657	27425
171	5697	27429
172	5727	27379
173	5759	27338
174	5791	27303
175	5831	27304
176	5883	27357
177	5919	27337
178	5945	27271
179	5981	27247
180	6011	27200
181	6037	27134
182	6067	27088
183	6104	27072
184	6165	27159
185	6220	27222
186	6253	27189
187	6292	27176
188	6341	27211
189	6392	27250
190	6438	27269
191	6496	27339
192	6549	27386
193	6583	27353
194	6624	27346
195	6668	27355
196	6716	27378
197	6754	27360
198	6804	27389
199	6974	27898
200	7067	28092
201	7134	28184
202	7179	28186
203	7212	28142
204	7234	28056
205	7259	27980
206	7283	27901
207	7313	27845
208	7339	27779
209	7371	27731
210	7403	27685
211	7431	27623
212	7459	27562
213	7489	27509
214	7527	27485
215	7568	27471
216	7608	27453
217	7662	27488
218	7745	27620
219	7802	27662
220	7856	27693
221	7967	27923
222	8087	28179
223	8160	28269
224	8203	28256
225	8242	28227
226	8280	28197
227	8322	28178
228	8365	28165
229	8439	28252
230	8479	28229
231	8525	28222
232	8557	28168
233	8584	28102
234	8614	28044
235	8639	27969
236	8669	27909
237	8689	27821
238	8714	27746
239	8735	27663
240	8768	27616
241	8793	27544
242	8817	27469
243	8844	27402
244	8866	27322
245	8888	27243
246	8912	27171
247	8936	27098
248	8962	27031
249	8986	26960
250	9011	26889
251	9033	26812
252	9055	26738
253	9077	26661
254	9101	26592
255	9122	26512
256	9146	26441
257	9167	26366
258	9193	26301
259	9220	26241
260	9242	26168
261	9268	26106
262	9289	26031
263	9319	25981
264	9360	25961
265	9393	25921
266	9433	25899
267	9466	25856
268	9495	25804
269	9532	25774
270	9565	25730
271	9601	25699
272	9637	25665
273	9702	25708
274	9739	25675
275	9783	25663
276	9836	25673
277	9879	25657
278	9925	25650
279	9978	25660
280	10020	25638
281	10049	25586
282	10084	25549
283	10129	25537
284	10166	25505
285	10193	25447
286	10221	25394
287	10251	25344
288	10282	25298
289	10315	25255
290	10351	25219
291	10384	25178
292	10416	25135
293	10447	25087
294	10483	25053
295	10516	25012
296	10546	24963
297	10576	24914
298	10608	24871
299	10641	24831
300	10673	24786
301	10710	24754
302	10745	24718
303	10808	24746
304	10841	24704
305	10867	24647
306	10905	24616
307	10936	24572
308	10963	24515
309	10989	24460
310	11021	24417
311	11053	24373
312	11078	24316
313	11099	24248
314	11120	24182
315	11142	24117
316	11160	24045
317	11178	23974
318	11196	23901
319	11215	23833
320	11234	23762
321	11253	23695
322	11274	23631
323	11292	23560
324	11312	23495
325	11331	23427
326	11350	23359
327	11371	23296
328	11390	23231
329	11411	23169
330	11431	23104
331	11451	23040
332	11469	22973
333	11490	22911
334	11510	22848
335	11530	22785
336	11548	22719
337	11570	22662
338	11592	22603
339	11613	22543
340	11632	22480
341	11652	22418
342	11673	22359
343	11690	22293
344	11710	22232
345	11729	22171
346	11749	22110
347	11770	22053
348	11789	21991
349	11811	21935
350	11830	21873
351	11851	21817
352	11872	21760
353	11892	21701
354	11912	21643
355	11931	21584
356	11952	21527
357	11971	21469
358	11993	21414
359	12012	21354
360	12031	21296
361	12053	21242
362	12074	21187
363	12098	21139
364	12121	21088
365	12146	21040
366	12177	21003
367	12203	20958
368	12234	20920
369	12271	20894
370	12297	20848
371	12324	20805
372	12347	20755
373	12372	20708
374	12396	20660
375	12417	20608
376	12438	20554
377	12469	20518
378	12492	20469
379	12513	20416
380	12531	20360
381	12549	20302
382	12567	20246
383	12587	20192
384	12605	20136
385	12622	20078
386	12640	20021
387	12662	19973
388	12682	19920
389	12706	19873
390	12729	19826
391	12751	19777
392	12769	19723
393	12787	19668
394	12806	19615
395	12824	19560
396	12841	19505
397	12859	19450
398	12883	19406
399	12901	19352
400	12921	19302
401	12947	19259
402	12970	19214
403	12988	19160
404	13005	19107
405	13024	19055
406	13044	19005
407	13059	18949
408	13080	18900
409	13097	18847
410	13115	18796
411	13137	18750
412	13159	18703
413	13179	18654
414	13198	18605
415	13220	18560
416	13244	18516
417	13268	18474
418	13294	18434
419	13322	18397
420	13343	18351
421	13366	18307
422	13391	18267
423	13414	18223
424	13434	18176
425	13453	18127
426	13472	18079
427	13492	18032
428	13516	17990
429	13541	17950
430	13578	17926
431	13599	17881
432	13618	17832
433	13636	17783
434	13656	17737
435	13677	17692
436	13701	17652
437	13726	17612
438	13746	17566
439	13768	17523
440	13790	17480
441	13811	17436
442	13835	17395
443	13856	17351
444	13874	17304
445	13892	17256
446	13910	17209
447	13929	17162
448	13943	17111
449	13961	17063
450	13978	17015
451	13993	16965
452	14011	16919
453	14029	16872
454	14048	16827
455	14069	16784
456	14088	16739
457	14106	16693
458	14123	16646
459	14139	16598
460	14157	16552
461	14174	16506
462	14190	16458
463	14207	16412
464	14229	16371
465	14245	16323
466	14261	16277
467	14280	16233
468	14299	16189
469	14317	16144
470	14335	16101
471	14355	16058
472	14372	16013
473	14391	15970
474	14408	15925
475	14427	15882
476	14446	15839
477	14464	15795
478	14482	15752
479	14498	15706
480	14515	15662
481	14534	15620
482	14552	15577
483	14568	15531
484	14585	15487
485	14603	15445
486	14619	15400
487	14637	15357
488	14655	15314
489	14670	15269
490	14688	15226
491	14706	15184
492	14722	15141
493	14740	15098
494	14760	15058
495	14780	15019
496	14799	14978
497	14818	14938
498	14836	14896
499	14855	14855
500	14873	14814
501	14888	14770
502	14906	14728
503	14923	14687
504	14942	14646
505	14959	14604
506	14977	14564
507	14995	14523
508	15012	14481
509	15032	14443
510	15048	14400
511	15067	14361
512	15084	14319
513	15098	14276
514	15115	14234
515	15132	14194
516	15150	14153
517	15167	14113
518	15184	14072
519	15203	14033
520	15218	13991
521	15235	13951
522	15252	13910
523	15268	13870
524	15285	13829
525	15305	13792
526	15327	13757
527	15351	13723
528	15375	13690
529	15401	13657
530	15427	13625
531	15450	13591
532	15467	13551
533	15484	13513
534	15503	13474
535	15522	13437
536	15539	13398
537	15557	13359
538	15574	13321
539	15593	13283
540	15611	13245
541	15630	13207
542	15647	13169
543	15665	13131
544	15683	13093
545	15702	13056
546	15718	13017
547	15737	12980
548	15754	12942
549	15773	12905
550	15791	12867
551	15808	12829
552	15827	12793
553	15847	12757
554	15862	12718
555	15880	12681
556	15897	12644
557	15916	12607
558	15933	12570
559	15949	12531
560	15967	12495
561	15985	12458
562	16003	12421
563	16021	12385
564	16036	12346
565	16053	12309
566	16073	12274
567	16090	12237
568	16108	12201
569	16126	12165
570	16147	12131
571	16167	12097
572	16185	12061
573	16204	12026
574	16226	11993
575	16248	11960
576	16265	11924
577	16283	11888
578	16306	11856
579	16325	11822
580	16343	11786
581	16360	11750
582	16380	11716
583	16400	11682
584	16421	11649
585	16439	11614
586	16457	11579
587	16475	11543
588	16504	11517
589	16558	11506
590	16609	11494
591	16630	11461
592	16655	11431
593	16690	11408
594	16709	11373
595	16727	11339
596	16746	11304
597	16763	11268
598	16782	11234
599	16800	11200
600	16818	11165
601	16835	11130
602	16854	11096
603	16873	11062
604	16890	11027
605	16907	10992
606	16925	10958
607	16942	10923
608	16959	10888
609	16977	10854
610	16995	10820
611	17014	10786
612	17030	10751
613	17049	10718
614	17066	10684
615	17085	10650
616	17104	10617
617	17119	10581
618	17136	10547
619	17155	10514
620	17172	10480
621	17191	10447
622	17206	10412
623	17224	10378
624	17244	10346
625	17303	10337
626	17370	10333
627	17393	10303
628	17426	10278
629	17457	10252
630	17473	10218
631	17492	10185
632	17509	10151
633	17528	10118
634	17546	10085
635	17566	10053
636	17584	10020
637	17601	9987
638	17619	9954
639	17637	9921
640	17655	9887
641	17672	9855
642	17690	9822
643	17710	9790
644	17730	9758
645	17748	9725
646	17765	9693
647	17783	9660
648	17801	9627
649	17819	9595
650	17837	9562
651	17855	9530
652	17870	9496
653	17887	9463
654	17906	9431
655	17924	9399
656	17941	9366
657	17959	9334
658	17977	9302
659	17995	9270
660	18013	9238
661	18034	9207
662	18089	9194
663	18153	9186
664	18174	9155
665	18207	9131
666	18233	9103
667	18252	9071
668	18270	9039
669	18290	9008
670	18306	8975
671	18325	8944
672	18346	8914
673	18364	8882
674	18384	8851
675	18401	8819
676	18418	8787
677	18438	8756
678	18456	8725
679	18475	8694
680	18494	8663
681	18511	8631
682	18530	8600
683	18551	8570
684	18570	8539
685	18589	8508
